paper_url,paper_name,paper_year,abstract,keywords,doi_url
https://www.ncbi.nlm.nih.gov/pubmed/41122866,Chidamide Accelerates the Death of Senescence-Like Diffuse Large B-Cell Lymphoma Cells With TP53 Mutation Induced by Doxorubicin.,2025,"Diffuse large B-cell lymphoma (DLBCL), a heterogeneous malignancy characterized by distinct genetic and clinical subtypes, remains a therapeutic challenge despite standard R-CHOP chemotherapy. This study systematically investigated the synergistic anti-tumor efficacy and mechanism of the histone deacetylase inhibitor chidamide (CHI) combined with doxorubicin (DOX) in DLBCL models. Through multimodal experimental approaches including CCK8 proliferation assays, senescence-associated β-galactosidase (SA-β-gal) staining analysis, comet assay for DNA damage quantification, and comprehensive western blotting for molecular mechanism elucidation, we identified a potent synergistic interaction between CHI and DOX. By constructing a xenograft tumor model, the synergistic effect of the two drugs and its mechanism in vivo were confirmed. Our research found that CHI showed cell cycle inhibition and apoptosis induction effects on DLBCL cells. When combined with DOX, both synergistically inhibited the proliferation of DLBCL cells and promoted death of DOX-induced senescent cells. Preliminary mechanism studies revealed that CHI can reduce the level of mutant p53, inhibit cell senescence, and induce irreparable DNA damage in DOX-induced senescent tumor cells, ultimately leading them into programmed apoptosis. Thus, the ""One-two punch"" strategy increased the sensitivity of p53-mutated DLBCL cells to CHI. In summary, our study demonstrates that CHI synergizes with DOX to suppress DLBCL and presents a promising strategy to augment the therapeutic efficacy of DOX.","Doxorubicin, Lymphoma, Large B-Cell, Diffuse, Humans, Animals, Tumor Suppressor Protein p53, Mice, Aminopyridines, Cellular Senescence, Mutation, Benzamides, Apoptosis, Cell Line, Tumor, Xenograft Model Antitumor Assays, Cell Proliferation, Drug Synergism, DNA Damage, Antibiotics, Antineoplastic, Mice, Nude, Histone Deacetylase Inhibitors",https://doi.org/10.1096/fj.202500962RR
https://www.ncbi.nlm.nih.gov/pubmed/41098800,The Ambiguous Role of HMGB1 Across the Hallmarks of Aging: A Narrative Review.,2025,"Aging is a complex, multifactorial process driven by interconnected biological mechanisms collectively known as the hallmarks of aging, which contribute to functional decline and the onset of age-related diseases. High-mobility group box 1 (HMGB1), a nuclear DNA chaperone and damage-associated molecular pattern (DAMP), plays a pivotal role in regulating these hallmarks through its dual functions: preserving genomic stability within the nucleus and promoting inflammatory responses when released extracellularly. This review examines the multifaceted involvement of HMGB1 in key aging hallmarks, such as genomic instability, telomere attrition, mitochondrial dysfunction, and chronic inflammation among others. Preclinical studies demonstrate that nuclear HMGB1 supports chromatin integrity and DNA repair, whereas its extracellular release triggers TLR4/RAGE signaling pathways, thereby intensifying inflammaging and senescence-associated secretory phenotypes (SASP). Emerging therapeutic approaches-such as HMGB1 inhibitors, neutralizing antibodies, and epigenetic modulators-show potential in restoring genomic homeostasis and mitigating age-related pathologies. Nevertheless, significant challenges remain, including elucidating HMGB1's roles in nutrient sensing and psychosocial stress, fine-tuning interventions to preserve its nuclear functions while minimizing extracellular toxicity, and establishing efficacy in human clinical settings. Addressing these gaps may position HMGB1 as a promising multifunctional target for delaying aging and translating preclinical findings into clinical applications.","HMGB1 Protein, Humans, Aging, Inflammation, Genomic Instability, Animals, Signal Transduction, Senescence-Associated Secretory Phenotype, DNA Repair",https://doi.org/10.2147/CIA.S550572
https://www.ncbi.nlm.nih.gov/pubmed/41120620,Diversity of oxidative stress and senescence phenotypes induced by chemotherapeutic agents in HUVECs.,2025,"Chemotherapy-induced endothelial cell senescence impacts tumor angiogenesis and therapy outcomes. While senescence can suppress tumorigenesis, it may also promote chronic inflammation and vascular toxicity. This study investigates how different chemotherapeutic agents induce senescence in human umbilical vein endothelial cells (HUVECs) and explores the roles of reactive oxygen species (ROS) and ataxia telangiectasia mutated (ATM) kinase. HUVECs were treated with DNA crosslinkers (doxorubicin, mitomycin C), topoisomerase inhibitors (etoposide, camptothecin), and methotrexate (MTX). Senescence was assessed via senescence-associated β-galactosidase (SA-β-gal) staining, senescence-associated secretory phenotype related factors, Phalloidin staining, immunofluorescence (p53, Ki67, 53BP1, γH2AX), mitochondrial morphology, ROS measurement, and transcriptomic sequencing. ROS scavenger Mito-Q and ATM inhibitor KU55933 were co-administered to evaluate their modulatory effects. SA-β-gal staining demonstrated that all agents induced senescence, with etoposide being the most potent (80% SA-β-gal-positive cells) and methotrexate the weakest (40%). DNA damage markers (53BP1, γH2AX) and ROS levels increased significantly, accompanied by mitochondrial fragmentation, reduced Ki67, and increased cell morphology. Furthermore, Mito-Q alleviated methotrexate-induced senescence but had no effect on other agents. ATM inhibition did not demonstrate an effect across all treatments in this study. Transcriptomic analysis revealed the p53 signaling pathway as a pivotal molecular determinant in chemotherapy-induced cellular senescence. MTX appeared mechanistically linked to TNF-mediated signaling cascades. Chemotherapeutic agents triggered endothelial senescence via DNA damage and ROS accumulation, with heterogeneity in potency and mechanisms. ROS scavengers may mitigate methotrexate-associated vascular toxicity, and targeting ROS could enhance chemotherapy safety by preserving endothelial function.","Humans, Cellular Senescence, Human Umbilical Vein Endothelial Cells, Reactive Oxygen Species, Oxidative Stress, Ataxia Telangiectasia Mutated Proteins, Antineoplastic Agents, Methotrexate, Phenotype, Senescence-Associated Secretory Phenotype, Mitochondria, Etoposide",https://doi.org/10.1038/s41598-025-20652-z
https://www.ncbi.nlm.nih.gov/pubmed/41113460,"Mitochondrial dysfunction in age-related sarcopenia: mechanistic insights, diagnostic advances, and therapeutic prospects.",2025,"Sarcopenia is a progressive age-related decline in skeletal muscle mass, strength, and function, representing a significant health burden in older adults. Diagnostic criteria have been established that integrate measures of muscle mass, strength, and physical performance [e.g., European Working Group on Sarcopenia in Older People 2010 (EWGSOP1) and 2019 (EWGSOP2) criteria]. Mechanistically, sarcopenia is driven by hormonal changes, chronic inflammation, cellular senescence, and, importantly, mitochondrial dysfunction. Age-related declines in sex hormones and activation of myostatin impair muscle regeneration and metabolism, while chronic low-grade inflammation disrupts protein synthesis and accelerates proteolysis via the ubiquitin-proteasome system (UPS) and autophagy-lysosome pathway (ALP). The accumulation of senescent cells and their secretory phenotype further exacerbates muscle degeneration and functional decline. Mitochondrial dysfunction plays a central role, characterized by impaired biogenesis, excessive reactive oxygen species (ROS) production, compromised autophagy/mitophagy, and accumulation of mitochondrial DNA (mtDNA) mutations. These defects collectively disrupt muscle energy homeostasis, promoting atrophy. The AMPK/SIRT1/PGC-1α and mTORC1 signaling pathways, along with PINK1/Parkin-mediated and receptor-dependent mitophagy, are essential for regulating mitochondrial biogenesis, protein synthesis, and mitochondrial quality control. Current and emerging therapeutic approaches include resistance and endurance exercise, nutritional and pharmacological agents targeting mitochondrial health, and hormonal modulation. Innovative treatments such as senolytics, exerkines, and gene therapies show promise but require further validation. Future advances in mechanistic understanding, diagnostics, and therapeutic strategies offer hope for mitigating sarcopenia and improving the quality of life in aging populations.",,https://doi.org/10.3389/fcell.2025.1590524
https://www.ncbi.nlm.nih.gov/pubmed/41120532,Assortative breeding experiment in a songbird suggests telomere length is determined during early life rather than at conception.,2025,"Telomere length (TL) early in life often shows high heritability and may predict telomere shortening later in life and life expectancy. Yet, there is limited data about what influences TL and TL change at early developmental stages. It is debated whether early-life TL is determined at conception or shaped by early environmental conditions. Here, we investigate whether TL and telomere shortening are set close to conception. We assortatively paired zebra finches (Taeniopygia guttata) based on their TL when nestlings, forming two parental pair groups with either 'short' or 'long' TL. We then measured TL in the offspring of these pairs at the embryo and nestling stages. In embryos, TL did not differ between offspring from the two parental pair groups. However, in nestlings, particularly in sons, offspring TL matched parental TL. Our results suggest that early-life TL itself is not determined at conception. Instead, telomere shortening rate before and just after hatching appears to determine early postnatal TL. These findings highlight that early development is critical for telomere shortening during early life stages and that it may be a key process underlying the similarity in early-life TL between parents and offspring, potentially affecting telomere dynamics throughout life.","Animals, Female, Male, Telomere, Telomere Shortening, Finches, Fertilization, Breeding, Telomere Homeostasis, Songbirds",https://doi.org/10.1038/s41598-025-23517-7
https://www.ncbi.nlm.nih.gov/pubmed/41084113,Mitochondrial Oxidative Stress and Cardiac Dysfunction in TERT Deficient Progeria Mice.,2025,"Heart failure (HF) is a major cause of hospitalisation in the elderly. Its incidence increases with aging and the presence of risk factors such as hypertension and diabetes. Aging-related myocardial fibrosis, characterised by alterations in the extracellular matrix and myocardial structure, leads to impairment of cardiac function. However, the specific mechanisms linking mitochondrial oxidative stress to cardiac remodelling in aging remain unclear. To elucidate the mechanisms underlying aging-related ventricular electrical and structural remodelling and to determine the role of mitochondrial dysfunction in modulating aging-associated HF. We developed third-generation homozygous telomerase reverse transcriptase deficient (TERT<sup>-/-</sup>) progeria mice to model accelerated aging. Compared to wild-type controls, these mice exhibited marked upregulation of aging-associated genes and proteins such as p53 in ventricular tissue. Echocardiographic analysis revealed significant reductions in left ventricular ejection fraction and fractional shortening, indicating both systolic and diastolic dysfunction. Histological staining showed increased interstitial fibrosis and inflammatory cell infiltration, which correlated with elevated expression of fibrosis markers including collagen type I and TGF-β. Electrocardiography and epicardial mapping demonstrated prolonged QRS duration and slowed ventricular conduction velocity. These findings, together with increased conduction heterogeneity, are indicative of electrical remodelling. Furthermore, RNA sequencing and biochemical assays identified upregulation of mitochondrial oxidative stress pathways and elevated levels of malondialdehyde and MnSOD, alongside disrupted mitochondrial ultrastructure and downregulation of mitochondrial dynamics-related proteins such as MFN2 and Drp1. These findings highlight the central role of mitochondrial dysfunction in driving structural and electrical cardiac remodelling in aging. The findings demonstrate that third-generation TERT<sup>-/-</sup> senescent mice exhibit significant cardiac impairments, including electrical remodelling, structural changes, and mitochondrial dysfunction, suggesting mitochondrial oxidative stress may be related to aging-related HF. These insights underscore the potential of targeting mitochondrial dysfunction for therapeutic strategies in aging-related HF. Collectively, these data demonstrate that telomerase deficiency drives cardiac structural and electrical remodelling through mitochondrial oxidative stress, underscoring mitochondrial quality control as a potential therapeutic target in aging-related HF.","Animals, Oxidative Stress, Telomerase, Mice, Progeria, Mitochondria, Heart, Aging, Mice, Knockout, Male, Fibrosis",https://doi.org/10.1111/1440-1681.70082
https://www.ncbi.nlm.nih.gov/pubmed/41122379,Emerging roles of primary cilia in the pathogenesis of amyotrophic lateral sclerosis.,2025,"Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease primarily affecting motor neurons, for which effective disease-modifying therapies remain elusive. Primary cilia are solitary microtubule-based organelles critical for signal transduction and have recently been implicated in ALS pathogenesis. In this review, we provide a basic overview of the structure, dynamics, and functions of primary cilia, particularly in the brain. We highlight accumulating evidence from ALS models showing altered ciliary structure and function and explore how mutations in ALS-associated genes such as <i>NEK1</i>, <i>C21orf2</i>, and <i>C9orf72</i> disrupt ciliogenesis and ciliary signaling. Moreover, we examine the interplays between primary cilia dysfunction and known ALS-related mechanisms, including loss of proteostasis, abnormal RNA metabolism, microtubule dysfunction, neuroinflammation, and mitochondrial dysfunction. Collectively, the evidence suggests a bidirectional relationship in which ciliary impairment and ALS pathomechanisms reinforce one another in a vicious cycle. We further discuss emerging therapeutic strategies targeting ciliary function, as well as the potential for primary cilia as novel clinical applications. Our review highlights primary cilia as a previously underappreciated yet potentially important component of ALS biology, offering novel insights into disease mechanisms and future therapeutic development.",,https://doi.org/10.3389/fnins.2025.1688839
https://www.ncbi.nlm.nih.gov/pubmed/41121401,Antagonistic regulation of LINE-1/Alu elements and their repressor APOBEC3B in cellular senescence.,2025,"Long Interspersed Nuclear Elements-1 (LINE-1 or L1) make up approximately 21% of the human genome, with some L1 loci containing intact open reading frames (ORFs) that facilitate retrotransposition. Because retrotransposition can have deleterious effects leading to mutations and genomic instability, L1 activity is typically suppressed in somatic cells through transcriptional and post-transcriptional mechanisms. However, L1 elements are derepressed in senescent cells causing age-associated inflammation. Despite the recognition of L1 activity as a hallmark of aging, the underlying molecular mechanisms governing L1 derepression in these cells are not fully understood. In this study, we employed high throughput sequencing datasets and validated our findings through independent experiments to investigate the regulation of L1 elements in senescent cells. Our results reveal that both replicative and oncogene-induced senescence are associated with reduced expression of the cytidine deaminase APOBEC3B, a known suppressor of L1 retrotransposition. Consequently, senescent cells exhibited diminished levels of C-to-U editing of full-length L1 elements. Moreover, Ribo-seq profiling indicated that progression to senescence is not only associated with increased L1 transcription, but also translation of L1 ORFs. In summary, our results suggest that the depletion of APOBEC3B contributes to enhanced activity of L1 in senescent cells and promotion of L1-induced DNA damage and aging.",,https://doi.org/10.1186/s13100-025-00378-5
https://www.ncbi.nlm.nih.gov/pubmed/41121355,Spatiotemporal transcriptomic characteristics of immune and metabolic dysregulation during mouse brain aging.,2025,"Aging and its associated neurodegenerative diseases were increasingly recognized as one of the greatest global health threats. Brain aging involved a multitude of pathological changes, including immune inflammation and metabolic dysregulation. We systematically characterized spatiotemporal heterogeneity and dynamic gene expression profiles related to immune and metabolic dysfunction during mouse brain aging. By analyzing differentially expressed genes and conducting functional enrichment and gene set enrichment analysis, we constructed a spatiotemporal transcriptomic atlas of aging-associated metabolic and immune features. We further performed transcription factor enrichment analysis, regulatory network construction, weighted gene co-expression network analysis, and single-cell deconvolution analysis to further reveal underlying mechanisms. Our results showed that, throughout aging, most brain regions underwent widespread immune-inflammatory activation with distinct timing and magnitude: svz exhibited the strongest activation at 26 months, th peaks at 21 months, while olf maintained low immune activation. In terms of metabolic function, different regions responded oppositely to oxidative stress and compensatory mechanisms: mPTP pathway's genes were significantly upregulated in th but downregulated in cor. Moreover, each brain region possessed its own unique regulatory network, and the H3K27-methyltransferase activity of the PRC2 complex displayed region-dependent age dynamics, suggesting these epigenetic differences (especially ent and olf) might serve as novel targets for anti-aging interventions. This work presented a high-resolution spatiotemporal transcriptomic atlas of mouse brain aging, revealed regionally staggered immune activation, contrasted metabolic adaptations, and illustrated PRC2-mediated epigenetic remodeling during brain aging. These insights advanced our understanding of brain aging mechanisms and identified region-specific therapeutic targets for precision interventions in neurodegenerative diseases.","Animals, Aging, Brain, Transcriptome, Mice, Inbred C57BL, Gene Regulatory Networks, Gene Expression Profiling, Mice, Male, Spatio-Temporal Analysis",https://doi.org/10.1186/s12967-025-07171-1
https://www.ncbi.nlm.nih.gov/pubmed/41105805,Identification of blood-derived DNA methylation biomarkers of glaucoma and intraocular pressure measurements in three European ancestry cohorts including the Canadian longitudinal study on aging.,2025,"Glaucoma is a major cause of blindness globally and its prevalence rises with age. This study explored systemic blood-derived DNA methylation epigenetic biomarkers for association with glaucoma and intraocular pressure (IOP). Blood-derived DNA methylation (DNAm) was analyzed in 1,201 European participants from the Canadian Longitudinal Study on Aging (CLSA; Illumina EPIC v1 array) and 843 European participants from TwinsUK (450k array). An Epigenome-Wide Association Study (EWAS) for glaucoma and IOP was conducted, adjusting for age, sex, tobacco smoking, and leukocyte cell types. DNAm-based EpiScores estimates for 108 plasma protein levels were evaluated for associations with glaucoma and IOP. Additionally, 'biological' age acceleration, estimated using five established DNAm 'clocks,' was assessed for glaucoma and IOP and replicated in The Health and Retirement Study (HRS; <i>n</i> = 3,453). EWAS analyses of glaucoma and IOP in individual cohorts did not identify genome-wide significant associations. However, a combined EWAS for overlapping probes in both cohorts identified two epigenome-wide significant CpGs: cg03498697 in the <i>FRMD3</i> promoter (<i>p</i> = 6.86x10<sup>-8</sup>) and cg06044751 intronically within <i>PALLD</i> (<i>p</i> = 1.76x10<sup>-7</sup>). EpiScore analysis revealed one IOP Bonferroni-significant association with TNFRSF1B levels in the meta-analysis of both cohorts (<i>p</i> = 1.31x10<sup>-4</sup>). DNAm 'clock' analysis in the HRS identified a GrimAge-positive age acceleration associated with glaucoma (<i>p</i> = 0.01). This study identified significant epigenetic blood-derived biomarkers that are associated with glaucoma and IOP. These findings warrant replication in larger and more diverse populations as well as via longitudinal analysis to assess their robustness and potential predictive power.","Humans, Intraocular Pressure, DNA Methylation, Male, Female, Aged, Biomarkers, Glaucoma, Canada, Longitudinal Studies, Aging, Middle Aged, Genome-Wide Association Study, White People, Aged, 80 and over, Epigenesis, Genetic",https://doi.org/10.1080/15592294.2025.2566496
